trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.005, 'e': 0.9950124791926823}",20,0,-63.18688597950417,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.005, 'e': 0.9900498337491681}",20,9,-47.591495706753086,"{0: 7, 1: 0, 2: 2, 3: 2, 4: 0}",1
3,False,"{'a': 0.005, 'e': 0.9851119396030626}",20,8,-22.801580514579836,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
4,False,"{'a': 0.005, 'e': 0.9801986733067553}",25,0,-203.67363570970988,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 4}",0
5,False,"{'a': 0.005, 'e': 0.9753099120283326}",30,0,-159.61622607392928,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.005, 'e': 0.9704455335485082}",20,0,-24.128748748790066,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.005, 'e': 0.9656054162575665}",25,0,-191.81718371091998,"{0: 14, 1: 4, 2: 3, 3: 0, 4: 4}",0
8,False,"{'a': 0.005, 'e': 0.9607894391523232}",25,0,-218.3017683384349,"{0: 10, 1: 3, 2: 7, 3: 3, 4: 2}",0
9,False,"{'a': 0.005, 'e': 0.9559974818331}",20,0,-107.52814062239942,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.005, 'e': 0.951229424500714}",20,0,-81.84620195517518,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.005, 'e': 0.9464851479534838}",20,0,8.646559548511387,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.005, 'e': 0.9417645335842487}",20,0,-34.71841125718207,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.005, 'e': 0.9370674633774034}",30,0,-166.5233954723398,"{0: 17, 1: 1, 2: 10, 3: 0, 4: 2}",0
14,False,"{'a': 0.005, 'e': 0.9323938199059483}",30,0,-183.88566788816576,"{0: 17, 1: 1, 2: 8, 3: 2, 4: 2}",0
15,False,"{'a': 0.005, 'e': 0.9277434863285529}",25,0,-117.33661236525954,"{0: 13, 1: 1, 2: 9, 3: 2, 4: 0}",0
16,False,"{'a': 0.005, 'e': 0.9231163463866358}",25,0,-51.651298752717025,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.005, 'e': 0.9185122844014574}",20,0,-48.82706615043583,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.005, 'e': 0.9139311852712282}",20,0,-124.40527200359067,"{0: 9, 1: 1, 2: 9, 3: 0, 4: 1}",0
