trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",25,0,-166.27125525341947,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9801}",20,0,-117.73925080933681,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.970299}",20,0,-203.95512430681669,"{0: 12, 1: 0, 2: 2, 3: 2, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.9605960100000001}",25,0,-98.34896989511599,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9509900499}",20,0,-51.132421537310506,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",20,0,-109.48199551221904,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.93206534790699}",20,5,-24.74532089315371,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.9227446944279202}",30,0,-159.04958236206042,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836409}",35,0,-217.8073534334532,"{0: 19, 1: 4, 2: 8, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088045}",25,0,-66.45259499550616,"{0: 20, 1: 2, 2: 0, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587165}",25,0,-182.10046915418786,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161293}",20,0,-128.39290621200763,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.8775210229989681}",25,0,-117.02344994538356,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689783}",20,0,-98.9614829587055,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412885}",25,0,-106.31673884439341,"{0: 14, 1: 0, 2: 9, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948756}",30,0,-130.1545887409676,"{0: 19, 1: 5, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839269}",30,0,-158.04101827820026,"{0: 19, 1: 0, 2: 8, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500876}",20,13,13.18717042949112,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.8261686238355868}",25,0,-319.58189101830004,"{0: 8, 1: 2, 2: 8, 3: 2, 4: 5}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972309}",25,0,-162.93019914852445,"{0: 15, 1: 0, 2: 6, 3: 2, 4: 2}",0
1,True,"{'a': 0.5, 'e': 0.8097278682212585}",25,0,-80.15199982319712,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 0.801630589539046}",25,10,-86.45746643510475,"{0: 8, 1: 2, 2: 3, 3: 1, 4: 1}",1
3,True,"{'a': 0.5, 'e': 0.7936142836436555}",25,8,-44.926760972099515,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': 0.785678140807219}",30,0,-154.27259035989636,"{0: 14, 1: 5, 2: 10, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 0.7778213593991468}",20,0,-175.60597018679132,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 4}",0
6,True,"{'a': 0.5, 'e': 0.7700431458051553}",25,0,-180.2875838743956,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
7,True,"{'a': 0.5, 'e': 0.7623427143471038}",20,0,-76.67251723863345,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 0.7547192872036327}",25,0,-162.73283333936038,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 0.7471720943315964}",30,0,-204.22352937038693,"{0: 14, 1: 2, 2: 11, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 0.7397003733882804}",25,0,-159.12327054993636,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
